"Date Printed: Tuesday, August 20, 2024 8:01:25 AM",,,,,,,,,,,,,,,
"Title: ""Estimated HIV incidence | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Palau | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""""",,,,,,,,,,,,,,,
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,,,,,,,,,
   Estimates with an RSE>50% are statistically unreliable and reported as data not available.,,,,,,,,,,,,,,,
   * Estimates with an RSE of 30%–50% should be used with caution because they meet a lower standard of reliability.,,,,,,,,,,,,,,,
   The 'Sex' column is used for either sex assigned at birth or gender identity.,,,,,,,,,,,,,,,
   NA - Not applicable.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Cases LCI,Cases UCI,RSE,Rate per 100000,Rate LCI,Rate UCI,Population
Estimated HIV incidence,2015,West Virginia,54,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,100,40,160,32.4*,6.2,2.3,10.2,"1,573,552"
Estimated HIV incidence,2015,Washington,53,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,430,300,550,14.7,7.1,5,9.1,"5,997,811"
Estimated HIV incidence,2015,Virginia,51,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,910,740,"1,100",9.7,13,10.5,15.5,"7,023,193"
Estimated HIV incidence,2015,Vermont,50,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"542,178"
Estimated HIV incidence,2015,Utah,49,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,140,70,200,23.5,5.8,3.1,8.5,"2,315,120"
Estimated HIV incidence,2015,Texas,48,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"4,400","4,100","4,800",4.2,19.9,18.3,21.5,"22,224,379"
Estimated HIV incidence,2015,Tennessee,47,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,720,580,870,10.3,13.1,10.5,15.8,"5,522,791"
Estimated HIV incidence,2015,South Dakota,46,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,40,10,60,42.5*,5,0.8,9.2,"698,337"
Estimated HIV incidence,2015,South Carolina,45,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,700,550,850,11,16.9,13.3,20.6,"4,112,528"
Estimated HIV incidence,2015,Rhode Island,44,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,70,30,110,28,7.9,3.6,12.3,"909,071"
Estimated HIV incidence,2015,Pennsylvania,42,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,000",820,"1,200",10.1,9.4,7.6,11.3,"10,885,300"
Estimated HIV incidence,2015,Oregon,41,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,200,120,280,20.6,5.9,3.5,8.3,"3,398,816"
Estimated HIV incidence,2015,Oklahoma,40,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,310,220,410,15.3,9.7,6.8,12.6,"3,211,785"
Estimated HIV incidence,2015,Ohio,39,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,970,790,"1,100",9.2,9.9,8.1,11.7,"9,758,173"
Estimated HIV incidence,2015,North Dakota,38,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"624,471"
Estimated HIV incidence,2015,North Carolina,37,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,200","1,100","1,400",7.6,14.7,12.5,17,"8,404,629"
Estimated HIV incidence,2015,New York,36,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"2,500","2,200","2,800",5.7,15.2,13.5,16.9,"16,659,877"
Estimated HIV incidence,2015,New Mexico,35,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,120,60,170,22.8,6.8,3.8,9.9,"1,731,113"
Estimated HIV incidence,2015,New Jersey,34,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,100",830,"1,300",10.6,14.1,11.1,17,"7,464,568"
Estimated HIV incidence,2015,New Hampshire,33,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,40,10,80,42.0*,3.6,0.6,6.5,"1,154,770"
Estimated HIV incidence,2015,Nevada,32,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,500,380,620,11.8,20.9,16.1,25.8,"2,386,149"
Estimated HIV incidence,2015,Nebraska,31,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,70,20,110,35.0*,4.4,1.4,7.4,"1,548,088"
Estimated HIV incidence,2015,Montana,30,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"867,518"
Estimated HIV incidence,2015,Missouri,29,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,400,310,500,12,7.9,6,9.8,"5,079,611"
Estimated HIV incidence,2015,Mississippi,28,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,380,270,480,14.1,15.3,11.1,19.5,"2,469,900"
Estimated HIV incidence,2015,Minnesota,27,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,250,160,330,17.3,5.5,3.6,7.3,"4,554,165"
Estimated HIV incidence,2015,Michigan,26,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,670,540,810,10.2,8,6.4,9.6,"8,385,305"
Estimated HIV incidence,2015,Massachusetts,25,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,500,370,620,12.5,8.5,6.4,10.6,"5,822,889"
Estimated HIV incidence,2015,Maryland,24,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,940,750,"1,100",9.9,18.6,15,22.2,"5,022,839"
Estimated HIV incidence,2015,Maine,23,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"1,150,046"
Estimated HIV incidence,2015,Louisiana,22,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,940,770,"1,100",9,24.3,20,28.6,"3,859,774"
Estimated HIV incidence,2015,Kentucky,21,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,380,270,490,14.6,10.3,7.4,13.3,"3,702,337"
Estimated HIV incidence,2015,Kansas,20,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,170,90,240,22.5,7,3.9,10.2,"2,388,965"
Estimated HIV incidence,2015,Iowa,19,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,130,70,190,22.9,5,2.7,7.2,"2,596,719"
Estimated HIV incidence,2015,Indiana,18,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,630,500,760,10.8,11.5,9,13.9,"5,486,236"
Estimated HIV incidence,2015,Illinois,17,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,400","1,200","1,600",7.7,13,11,15,"10,751,114"
Estimated HIV incidence,2015,Idaho,16,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"1,340,738"
Estimated HIV incidence,2015,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,90,40,140,26.5,7.8,3.8,11.9,"1,193,786"
Estimated HIV incidence,2015,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"2,500","2,200","2,800",6.1,30,26.4,33.6,"8,398,181"
Estimated HIV incidence,2015,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"4,200","3,800","4,600",4.6,24.1,21.9,26.3,"17,298,886"
Estimated HIV incidence,2015,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,320,220,420,16.3,54.3,37,71.7,"583,967"
Estimated HIV incidence,2015,Delaware,10,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,110,50,180,28.4,14.1,6.2,22,"795,983"
Estimated HIV incidence,2015,Connecticut,9,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,240,160,320,17,7.9,5.3,10.6,"3,062,680"
Estimated HIV incidence,2015,Colorado,8,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,390,290,500,14,8.7,6.3,11,"4,544,680"
Estimated HIV incidence,2015,California,6,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"4,900","4,500","5,300",4,15.2,14,16.5,"32,338,787"
Estimated HIV incidence,2015,Arkansas,5,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,260,170,340,17.6,10.3,6.8,13.9,"2,471,839"
Estimated HIV incidence,2015,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,760,590,920,11.3,13.4,10.4,16.3,"5,662,609"
Estimated HIV incidence,2015,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"601,517"
Estimated HIV incidence,2015,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,630,500,760,10.8,15.4,12.2,18.7,"4,071,935"
Estimated HIV incidence,2016,Palau,70,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2016,U.S. Virgin Islands,78,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2016,Puerto Rico,72,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,470,330,620,15.7,16.1,11.1,21.1,"2,936,106"
Estimated HIV incidence,2016,Northern Mariana Islands,69,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2016,Guam,66,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2016,American Samoa,60,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2016,Wyoming,56,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"483,174"
Estimated HIV incidence,2016,Wisconsin,55,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,220,130,310,20,4.5,2.7,6.3,"4,859,367"
Estimated HIV incidence,2016,West Virginia,54,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,100,20,170,38.4*,6.3,1.6,11.1,"1,565,575"
Estimated HIV incidence,2016,Washington,53,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,460,310,610,16.2,7.5,5.1,9.9,"6,112,944"
Estimated HIV incidence,2016,Virginia,51,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,900,700,"1,100",11.1,12.7,9.9,15.5,"7,071,371"
Estimated HIV incidence,2016,Vermont,50,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"541,932"
Estimated HIV incidence,2016,Utah,49,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,160,80,240,23.9,6.7,3.6,9.9,"2,371,833"
Estimated HIV incidence,2016,Texas,48,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"4,500","4,100","5,000",4.7,20.1,18.2,22,"22,620,823"
Estimated HIV incidence,2016,Tennessee,47,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,760,600,920,10.8,13.6,10.7,16.5,"5,575,409"
Estimated HIV incidence,2016,South Dakota,46,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"705,776"
Estimated HIV incidence,2016,South Carolina,45,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,730,560,900,11.9,17.4,13.4,21.5,"4,174,861"
Estimated HIV incidence,2016,Rhode Island,44,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,50,20,90,36.6*,6,1.7,10.4,"910,845"
Estimated HIV incidence,2016,Pennsylvania,42,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,100",850,"1,300",10.8,9.9,7.8,12,"10,892,236"
Estimated HIV incidence,2016,Oregon,41,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,230,140,330,21.4,6.7,3.9,9.6,"3,467,811"
Estimated HIV incidence,2016,Oklahoma,40,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,320,210,420,17,9.8,6.5,13.1,"3,229,148"
Estimated HIV incidence,2016,Ohio,39,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,930,740,"1,100",10.6,9.5,7.6,11.5,"9,782,170"
Estimated HIV incidence,2016,North Dakota,38,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,50,0,100,47.0*,8,0.6,15.5,"623,768"
Estimated HIV incidence,2016,North Carolina,37,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,300","1,100","1,500",8,15.7,13.2,18.1,"8,525,262"
Estimated HIV incidence,2016,New York,36,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"2,500","2,200","2,800",6.4,14.9,13.1,16.8,"16,657,332"
Estimated HIV incidence,2016,New Mexico,35,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,140,80,210,22.5,8.3,4.6,12,"1,737,811"
Estimated HIV incidence,2016,New Jersey,34,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,100",860,"1,300",11.1,14.8,11.6,18,"7,475,782"
Estimated HIV incidence,2016,New Hampshire,33,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,40,0,80,48.8*,3.4,0.1,6.7,"1,162,417"
Estimated HIV incidence,2016,Nevada,32,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,520,380,650,13.3,21.4,15.8,26.9,"2,431,424"
Estimated HIV incidence,2016,Nebraska,31,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,90,30,150,32.9*,5.9,2.1,9.7,"1,560,831"
Estimated HIV incidence,2016,Montana,30,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"876,889"
Estimated HIV incidence,2016,Missouri,29,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,440,330,540,12.5,8.6,6.5,10.7,"5,097,448"
Estimated HIV incidence,2016,Mississippi,28,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,370,260,490,16.2,15.2,10.3,20,"2,474,009"
Estimated HIV incidence,2016,Minnesota,27,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,260,160,350,19.2,5.6,3.5,7.7,"4,590,826"
Estimated HIV incidence,2016,Michigan,26,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,610,460,760,12.4,7.2,5.5,9,"8,411,707"
Estimated HIV incidence,2016,Massachusetts,25,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,530,400,670,12.9,9.1,6.8,11.4,"5,858,253"
Estimated HIV incidence,2016,Maryland,24,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,960,760,"1,200",10.7,19,15,23,"5,040,205"
Estimated HIV incidence,2016,Maine,23,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"1,154,179"
Estimated HIV incidence,2016,Louisiana,22,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,940,750,"1,100",10.1,24.2,19.4,29,"3,873,295"
Estimated HIV incidence,2016,Kentucky,21,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,360,240,480,17,9.7,6.4,12.9,"3,713,666"
Estimated HIV incidence,2016,Kansas,20,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,170,80,250,25.5,6.9,3.5,10.4,"2,395,027"
Estimated HIV incidence,2016,Iowa,19,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,120,50,180,28.1,4.5,2,7,"2,606,531"
Estimated HIV incidence,2016,Indiana,18,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,480,340,620,14.7,8.7,6.2,11.3,"5,514,230"
Estimated HIV incidence,2016,Illinois,17,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,300","1,100","1,500",8.9,12,9.9,14.1,"10,737,028"
Estimated HIV incidence,2016,Idaho,16,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"1,370,088"
Estimated HIV incidence,2016,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,60,10,110,40.3*,5.1,1.1,9.1,"1,200,346"
Estimated HIV incidence,2016,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"2,500","2,200","2,800",6.7,29.4,25.5,33.3,"8,518,147"
Estimated HIV incidence,2016,Florida,12,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"4,000","3,600","4,500",5.3,22.9,20.5,25.2,"17,652,833"
Estimated HIV incidence,2016,District of Columbia,11,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,270,160,370,19.6,45.3,27.8,62.7,"591,956"
Estimated HIV incidence,2016,Delaware,10,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,100,30,170,34.8*,12.3,3.9,20.6,"803,754"
Estimated HIV incidence,2016,Connecticut,9,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,230,140,320,20,7.4,4.5,10.3,"3,061,079"
Estimated HIV incidence,2016,Colorado,8,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,480,350,610,14,10.3,7.5,13.2,"4,634,286"
Estimated HIV incidence,2016,California,6,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"5,000","4,600","5,400",4.5,15.3,14,16.7,"32,601,590"
Estimated HIV incidence,2016,Arkansas,5,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,270,170,360,18.3,10.8,6.9,14.6,"2,484,157"
Estimated HIV incidence,2016,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,760,570,940,12.8,13.1,9.8,16.4,"5,770,176"
Estimated HIV incidence,2016,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"604,820"
Estimated HIV incidence,2016,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,650,500,800,11.8,15.8,12.2,19.5,"4,084,113"
Estimated HIV incidence,2017,Palau,70,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2017,U.S. Virgin Islands,78,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2017,Puerto Rico,72,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,410,250,560,19.4,14.1,8.7,19.5,"2,885,290"
Estimated HIV incidence,2017,Northern Mariana Islands,69,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2017,Guam,66,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2017,American Samoa,60,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,NA
Estimated HIV incidence,2017,Wyoming,56,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"480,537"
Estimated HIV incidence,2017,Wisconsin,55,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,240,140,340,21.7,4.8,2.8,6.9,"4,882,107"
Estimated HIV incidence,2017,West Virginia,54,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,120,30,220,38.0*,8,2,14,"1,555,672"
Estimated HIV incidence,2017,Washington,53,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,500,330,680,17.6,8.1,5.3,10.8,"6,226,981"
Estimated HIV incidence,2017,Virginia,51,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,850,630,"1,100",12.8,11.9,8.9,14.8,"7,126,147"
Estimated HIV incidence,2017,Vermont,50,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"543,325"
Estimated HIV incidence,2017,Utah,49,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,140,60,220,29.7,5.6,2.3,8.9,"2,430,029"
Estimated HIV incidence,2017,Texas,48,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"4,400","4,000","4,900",5.3,19.4,17.3,21.4,"22,976,955"
Estimated HIV incidence,2017,Tennessee,47,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,750,570,940,12.3,13.4,10.1,16.6,"5,635,783"
Estimated HIV incidence,2017,South Dakota,46,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"714,433"
Estimated HIV incidence,2017,South Carolina,45,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,680,490,870,14,16.1,11.7,20.5,"4,235,109"
Estimated HIV incidence,2017,Rhode Island,44,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,80,30,130,31.7*,9.1,3.4,14.8,"911,118"
Estimated HIV incidence,2017,Pennsylvania,42,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,960,720,"1,200",12.8,8.8,6.6,11,"10,904,982"
Estimated HIV incidence,2017,Oregon,41,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,190,90,290,27,5.4,2.5,8.3,"3,520,920"
Estimated HIV incidence,2017,Oklahoma,40,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,350,230,480,18.2,10.8,7,14.7,"3,238,822"
Estimated HIV incidence,2017,Ohio,39,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,950,740,"1,200",11.5,9.7,7.5,11.9,"9,813,505"
Estimated HIV incidence,2017,North Dakota,38,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"623,869"
Estimated HIV incidence,2017,North Carolina,37,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,300","1,100","1,500",9.2,15.1,12.4,17.9,"8,635,951"
Estimated HIV incidence,2017,New York,36,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"2,300","1,900","2,600",7.6,13.6,11.5,15.6,"16,639,082"
Estimated HIV incidence,2017,New Mexico,35,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,140,70,220,26.4,8.2,3.9,12.4,"1,743,347"
Estimated HIV incidence,2017,New Jersey,34,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,100",810,"1,400",12.8,14.5,10.8,18.1,"7,496,009"
Estimated HIV incidence,2017,New Hampshire,33,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"1,170,610"
Estimated HIV incidence,2017,Nevada,32,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,490,330,640,16.1,19.7,13.5,25.9,"2,479,410"
Estimated HIV incidence,2017,Nebraska,31,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,100,30,160,36.1*,6.1,1.8,10.4,"1,570,999"
Estimated HIV incidence,2017,Montana,30,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"887,690"
Estimated HIV incidence,2017,Missouri,29,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,530,400,660,12.3,10.4,7.9,12.9,"5,119,469"
Estimated HIV incidence,2017,Mississippi,28,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,440,290,580,16.6,17.6,11.9,23.3,"2,479,685"
Estimated HIV incidence,2017,Minnesota,27,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,260,150,370,20.7,5.6,3.3,7.9,"4,631,806"
Estimated HIV incidence,2017,Michigan,26,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,640,480,810,13.2,7.6,5.6,9.6,"8,442,146"
Estimated HIV incidence,2017,Massachusetts,25,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,480,340,630,15.3,8.2,5.7,10.7,"5,897,908"
Estimated HIV incidence,2017,Maryland,24,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,750,550,960,13.8,14.9,10.8,18.9,"5,062,295"
Estimated HIV incidence,2017,Maine,23,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"1,158,744"
Estimated HIV incidence,2017,Louisiana,22,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,920,710,"1,100",11.7,23.8,18.3,29.3,"3,870,275"
Estimated HIV incidence,2017,Kentucky,21,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,360,220,490,19.5,9.5,5.9,13.2,"3,730,572"
Estimated HIV incidence,2017,Kansas,20,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,100,20,180,40.6*,4.3,0.9,7.7,"2,397,862"
Estimated HIV incidence,2017,Iowa,19,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,100,30,170,36.9*,3.7,1,6.3,"2,617,108"
Estimated HIV incidence,2017,Indiana,18,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,520,370,680,15.3,9.4,6.6,12.3,"5,540,761"
Estimated HIV incidence,2017,Illinois,17,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"1,200",990,"1,500",10.5,11.6,9.2,14,"10,723,912"
Estimated HIV incidence,2017,Idaho,16,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,Data not available,NA,NA,NA,Data not available,NA,NA,"1,403,036"
Estimated HIV incidence,2017,Hawaii,15,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,80,20,150,38.4*,6.9,1.7,12.1,"1,199,149"
Estimated HIV incidence,2017,Georgia,13,Ages 13 years and older,All races/ethnicities,Both sexes,All transmission categories,"2,500","2,100","2,900",7.7,28.9,24.5,33.2,"8,628,924"
